"filename", "language", "HTML", "Python", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.sv.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.sw.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.ta.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.tg.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.th.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.tk.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.tr.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.uk.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.uz-cyrl.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.uz-latn.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.vi.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.zh-CN.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\plugins\bootstrap-datepicker\locales\bootstrap-datepicker.zh-TW.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\system\static\system\script.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 5, 55
"d:\system\static\system\styles.css", "CSS", 0, 0, 0, 62, 0, 0, 0, 2, 64
"d:\system\system\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\system\system\settings.py", "Python", 0, 85, 0, 0, 0, 0, 14, 34, 133
"d:\system\system\urls.py", "Python", 0, 22, 0, 0, 0, 0, 0, 5, 27
